minute_id,date,year,institution,keyword,context_snippet,is_climate_change,raw_llm_response
171,2022-10-04,,Reserve Bank of Australia,green finance," of climate change and associated policies, including the modelling of
						physical and transition risks and scenario analysis. In addition, the Bank continued to engage in
						international forums on the development of consistent standards for ‘green finance’ and the
						reporting of climate-related disclosures, which was relevant to its ongoing analysis of the cost and
						availability of finance in Australia.
Considerations for monetary policy
In considering the policy decision, members noted that",True,Yes
171,2022-10-04,,Reserve Bank of Australia,transition risk,"ons to navigate
						significant cyber-related disruptions. The Bank also continued to progress work on the economic and
						financial stability implications of climate change and associated policies, including the modelling of
						physical and transition risks and scenario analysis. In addition, the Bank continued to engage in
						international forums on the development of consistent standards for ‘green finance’ and the
						reporting of climate-related disclosures, which was relevant to its ongoing ",True,Yes
173,2022-08-02,,Reserve Bank of Australia,climate change,"ance, such as private equity and non-bank finance, although these sources of funds remained
						modest compared with bank lending.
Members discussed recent developments in the management of climate-related financial risks. They observed
						that climate change and other sustainability considerations have become more prominent in the decisions
						of investors and that there is potential for climate-risk considerations to influence the cost and
						availability of financing for Australian entities. The",True,Yes
182,2023-10-03,,Reserve Bank of Australia,climate change,"from outside the financial system. Such threats include
						cyber-attacks, the potential for an escalation in geopolitical tensions that cause severe disruptions to
						trade and international capital flows, and the effects of, and responses to, climate change.
Considerations for monetary policy
In turning to the policy decision, members noted that inflation remained well above target and was
						expected to do so for some time. Services price inflation remained sticky, and fuel prices were adding to
		",True,Yes
531,2022-01-21,,Bank of Japan,coal,"hile giving consideration to underpinning the economy -- maintained its stance of further deleveraging the real estate sector. A few other members expressed the recognition that power supply issues had been alleviated, partly owing to an increase in coal supply. One of these members noted that it was difficult to build a new large-scale coal-fired power plant amid the global trend toward decarbonization; therefore, power supply issues could be a factor to push down the Chinese economy's medium- to l",True,Yes
531,2022-01-21,,Bank of Japan,decarbonization,"mbers expressed the recognition that power supply issues had been alleviated, partly owing to an increase in coal supply. One of these members noted that it was difficult to build a new large-scale coal-fired power plant amid the global trend toward decarbonization; therefore, power supply issues could be a factor to push down the Chinese economy's medium- to long-term growth, along with the aging population and strengthening of various controls.
Members shared the recognition that emerging economies had picke",True,Yes
532,2021-12-22,,Bank of Japan,climate change,"wth from a somewhat long-term perspective, it was important to also achieve increases in productivity and wages at small and medium-sized firms, where 70 percent of employees in Japan work, in addition to accelerating digitalization and responses to climate change in the corporate sector. 
Members concurred that, as the impact of COVID-19 waned gradually, overseas economies were likely to continue growing, albeit with variation across countries and regions, supported by aggressive macroeconomic policies taken",True,yes
532,2021-12-22,,Bank of Japan,renewable energy," the adaptive formation mechanism and thereby encourage further price rises. One member pointed out that the rise in energy prices could persist, putting upward pressure on prices, in a situation where oil and coal continued to be replaced mainly by renewable energy, with awareness of climate change issues heightening globally. One member expressed the view that, on the back of improvement in the output gap due to the further normalization of the economy, there was a possibility that a pass-through to consumer ",True,Yes
532,2021-12-22,,Bank of Japan,coal,"long-term inflation expectations through the adaptive formation mechanism and thereby encourage further price rises. One member pointed out that the rise in energy prices could persist, putting upward pressure on prices, in a situation where oil and coal continued to be replaced mainly by renewable energy, with awareness of climate change issues heightening globally. One member expressed the view that, on the back of improvement in the output gap due to the further normalization of the economy, ther",True,Yes
533,2021-11-02,,Bank of Japan,climate change,"nts in the automobile-related sector because of various supply-side constraints. The member continued that, however, the recovery trend of the economy had been maintained on the whole, supported by positive factors such as investments that addressed climate change and those related to digitalization, and thus there was no need to change the current scenario for economic recovery. One member noted that it was a positive development that the number of confirmed cases had recently turned to a decrease, but given",True,yes
533,2021-11-02,,Bank of Japan,greenhouse gas,"ontents of their own criteria and determination process. Regarding the requirements for ""Japan's actions"" to address climate change, investment or loans that applied to one of the following could be made eligible: (1) those that would reduce Japan's greenhouse gas emissions or other investment or loans for domestic businesses to address climate change; (2) those that would contribute to (1) through supply chains; (3) those for research and development for which outcomes would be conducive to (1); and (4) of t",True,Yes
533,2021-11-02,,Bank of Japan,carbon neutral,"es to relate it to the price stability target.
V5. Remarks by Government Representatives
The representative from the Ministry of Finance made the following remarks.

(1) With regard to climate change, the government had been working toward achieving carbon neutrality by 2050. It considered that the Climate Response Financing Operations reflected the Bank's proactive stance toward addressing climate change. It expected the Bank to appropriately proceed with preparations for the launch of the fund provision wit",True,Yes
533,2021-11-02,,Bank of Japan,carbon neutrality,"es to relate it to the price stability target.
V5. Remarks by Government Representatives
The representative from the Ministry of Finance made the following remarks.

(1) With regard to climate change, the government had been working toward achieving carbon neutrality by 2050. It considered that the Climate Response Financing Operations reflected the Bank's proactive stance toward addressing climate change. It expected the Bank to appropriately proceed with preparations for the launch of the fund provision within",True,yes
533,2021-11-02,,Bank of Japan,decarbonization," member expressed the view that, while bearing in mind a similar long-term horizon, the government and the Bank should fulfill their respective roles in making responses to the pandemic and addressing important challenges, such as digitalization and decarbonization. Moreover, one member said that, with regard to the implementation of the Special Deposit Facility to Enhance the Resilience of the Regional Financial System, under which special remunerations had started to be applied from the September 2021 mainte",True,yes
533,2021-11-02,,Bank of Japan,tcfd,"limate change. In terms of the details of ""a certain level of disclosure,"" the Bank could require counterparties to make public information on the four thematic areas in the Recommendations of the Task Force on Climate-related Financial Disclosures (TCFD) as well as on the targets and actual results for their investment or loans, with a view to ensuring that those wishing to be counterparties for the operations were organizationally committed to efforts to address climate change.
With respect to the",True,Yes
534,2021-09-28,,Bank of Japan,carbon neutral,"ould be investment or loans made by counterparties as part of their aforementioned efforts that contributed to Japan's actions to address climate change. Climate change is a global challenge, but as each country was making its own efforts to achieve carbon neutrality, it would be appropriate for the Bank, as the central bank of Japan, to design a scheme that supports Japan's actions to address climate change. The types of eligible investment or loans could include (1) green loans or bonds, (2) sustainability-",True,Yes
534,2021-09-28,,Bank of Japan,carbon neutrality,"ould be investment or loans made by counterparties as part of their aforementioned efforts that contributed to Japan's actions to address climate change. Climate change is a global challenge, but as each country was making its own efforts to achieve carbon neutrality, it would be appropriate for the Bank, as the central bank of Japan, to design a scheme that supports Japan's actions to address climate change. The types of eligible investment or loans could include (1) green loans or bonds, (2) sustainability-lin",True,Yes
534,2021-09-28,,Bank of Japan,transition risk,"tions currently being taken in each country, it would be appropriate for the Bank to support efforts that contributed to Japan's actions to address climate change. Some members expressed the view that, given such factors as the size of the impact of transition risks on Japan's economy, the measure should cover transition finance. A different member commented that, taking into account the fluidity of the external environment surrounding climate change, the Bank should carefully decide on the scope of the measur",True,Yes
535,2021-07-21,,Bank of Japan,climate change,"nk to decide at this meeting to extend the duration of the Special Program by six months until the end of March 2022, thereby continuing to support financing, mainly of firms.
Furthermore, members discussed possible monetary policy actions regarding climate change issues. Some members expressed the recognition that, since such issues could exert an extremely large impact on developments in economic activity and prices as well as financial conditions from a medium- to long-term perspective, they were relevant ",True,Yes
536,2021-06-23,,Bank of Japan,climate change,"omy and the effects of monetary policy would evolve as COVID-19 brought about a further acceleration in digitalization of the economy and in turn progress with a shift in firms' assets from tangible to intangible. A different member pointed out that climate change was an important issue, in that it could affect the economy and the financial system, and thus the Bank should continue to enhance interdepartmental cooperation and consider necessary responses in line with its mandate as the central bank.
With resp",True,yes
538,2021-03-24,,Bank of Japan,climate change,"s said that, in addition to the change of government in the United States, the replacement of the Chancellor of Germany was scheduled to take place in 2021, and that the impact of such changes in political developments overseas on efforts concerning climate change issues and on emerging economies warranted close monitoring.
Members concurred that Japan's exports of goods were projected to increase for a wide range of goods, including capital goods and IT-related goods, mainly on the back of a global recovery ",True,yes
538,2021-03-24,,Bank of Japan,decarbonization,"mmodative financial conditions, the government's economic measures, and improvement in corporate profits. One member expressed the view that the government's comprehensive economic measures had laid out the direction of efforts in digitalization and decarbonization and enhanced predictability for business managers, which had brought about an environment facilitating firms' fixed investment. Meanwhile, members concurred that public investment was projected to steadily increase, reflecting progress such as in co",True,Yes
539,2023-01-23,,Bank of Japan,decarbonization,"e effects of supply-side constraints would wane, projects that had been postponed due to COVID-19 would be carried out, and IT-related investment to digitalize business activities as well as investment to address environmental issues, such as toward decarbonization, would increase.
Private consumption had increased moderately, despite being affected by COVID-19. The consumption activity index (CAI; real, travel balance adjusted) remained more or less flat for the July-September quarter of 2022 despite the impa",True,Yes
546,2022-03-24,,Bank of Japan,climate change," investment trusts (J-REITs) with upper limits of about 12 trillion yen and about 180 billion yen, respectively, on annual paces of increase in their amounts outstanding.
With a view to supporting financing of the private sector for their efforts on climate change, the Bank had made its first auction and loan disbursement amounting to 2.0 trillion yen under the Funds-Supplying Operations to Support Financing for Climate Change Responses (Climate Response Financing Operations).
B. Recent Developments in Financ",True,Yes
546,2022-03-24,,Bank of Japan,fossil fuel,"ational commodity prices, as well as the extent to which such developments would spread to import prices and domestic prices. A few members said that there was a risk of energy prices remaining elevated or rising further, mainly due to investment in fossil fuel development becoming constrained as a result of stricter environmental regulations worldwide and to heightened geopolitical risks in some commodity-exporting countries.
Based on these discussions, members shared the recognition that, with regard to ",True,Yes
552,2023-06-21,,Bank of Japan,decarbonization,"cts of supply-side constraints waned -- business fixed investment was expected to continue increasing, including investment to address labor shortages, digital-related investment, research and development (R&D) investment related to growth areas and decarbonization, and investment associated with strengthening supply chains. One member said that investment that had been postponed during the pandemic was likely to resume, and that such developments as an increase in digital-related and labor-saving investment w",True,Yes
554,2023-03-15,,Bank of Japan,climate change,"
Members voted unanimously to approve the amendment. It was confirmed that this would be made public after the meeting.
III3. Establishment of Special Rules for Financial Cooperatives regarding the Funds-Supplying Operations to Support Financing for Climate Change Responses
A. Staff Report
With a view to supporting a wide range of private sector efforts on climate change, the staff proposed that the Bank introduce a framework for enabling financial institutions that do not have a current account at the Bank t",True,Yes
555,2024-06-19,,Bank of Japan,decarbonization,"tions provided support, business fixed investment was likely 

to continue on an increasing trend, including investment to address labor shortages, digital-

related investment, research and development (R&D) investment related to growth areas and 

decarbonization, and investment associated with strengthening supply chains. One member 

pointed out that, according to a survey by the Cabinet Office, firms' expected growth rate had 

risen gradually and the business fixed investment plans in the March 2024  Tan",True,Yes
558,2024-07-04,,European Central Bank,climate change,"ntifying this risk was difficult and possible outcomes could lie anywhere between limited sector-specific consequences and a wider breakdown of trade links. The view was put forward that deglobalisation, greater protectionism and the rising costs of climate change were global trends affecting the supply side of the economy and giving rise to longer-term inflation pressures.With regard to the euro area economy, members widely noted that the June 2024 Eurosystem staff projections entailed upward revisions to bo",True,Yes
558,2024-07-04,,European Central Bank,climate crisis,"e than expected. Upside risks to inflation also stemmed from the heightened geopolitical tensions, which could push energy prices and freight costs higher in the near term and disrupt global trade. Moreover, extreme weather events, and the unfolding climate crisis more broadly, could drive up food prices. By contrast, inflation could surprise on the downside if monetary policy dampened demand more than expected, or if the economic environment in the rest of the world worsened unexpectedly. It was suggested th",True,yes
560,2024-05-10,,European Central Bank,climate change," to be tilted to the upside despite the ongoing disinflation process. Among the drivers of these perceived upside risks to the inflation outlook, food prices had increased sharply over recent weeks, in part owing to extreme weather events related to climate change and the El Niño phenomenon. Brent crude oil prices had risen above USD 90 per barrel on fears of rising tensions in the Middle East.  Risk asset markets remained resilient to monetary policy uncertainty. The benchmark EURO STOXX index had increased ",True,Yes
560,2024-05-10,,European Central Bank,green transition,"e of interest. In this context, it was argued that ongoing structural changes might have led to an increase in such benchmark rates. These changes included the anticipation of the significant global investment needs to address climate change and the green transition, geopolitical shifts and trade fragmentation leading to deglobalisation, and advances in artificial intelligence and digitalisation. In addition, rising public debt burdens worldwide might exert further upward pressure on the natural rate of interes",True,Yes
562,2024-04-04,,European Central Bank,climate change,"ia wages. That implied that the benign inflation outlook in the latest projections depended critically on the favourable energy price assumptions. Moreover, the combination of El Niño and La Niña, in conjunction with the impact of global warming and climate change, was creating upside risks for food prices. It was added that month-on-month figures showed that core inflation had again been on the rise for the last couple of months, which called for continued caution on the inflation outlook. Services inflation",True,yes
562,2024-04-04,,European Central Bank,global warming,"es or indirectly, via wages. That implied that the benign inflation outlook in the latest projections depended critically on the favourable energy price assumptions. Moreover, the combination of El Niño and La Niña, in conjunction with the impact of global warming and climate change, was creating upside risks for food prices. It was added that month-on-month figures showed that core inflation had again been on the rise for the last couple of months, which called for continued caution on the inflation outlook.",True,yes
564,2024-02-22,,European Central Bank,climate change,"tion and could simultaneously create headroom for investment. It was also recalled that governments needed to bring down high public debt ratios while being ready to contribute to closing the investment gap for the green transition and adaptation to climate change. This implied that they also had to adjust not only the path of “headline” fiscal policies but also the composition of budgets, to be able to pursue truly sustainable levels of economic activity that were resilient to the increasingly plausible scen",True,Yes
564,2024-02-22,,European Central Bank,paris agreement,"of “headline” fiscal policies but also the composition of budgets, to be able to pursue truly sustainable levels of economic activity that were resilient to the increasingly plausible scenario that the world would fall short of the objectives of the Paris Agreement.With regard to price developments, members concurred with the assessment presented by Mr Lane in his introduction. Inflation had risen to 2.9% in December as some of the past fiscal measures to cushion the impact of high energy prices dropped out of",True,Yes
564,2024-02-22,,European Central Bank,green transition,"r progress towards fiscal consolidation and could simultaneously create headroom for investment. It was also recalled that governments needed to bring down high public debt ratios while being ready to contribute to closing the investment gap for the green transition and adaptation to climate change. This implied that they also had to adjust not only the path of “headline” fiscal policies but also the composition of budgets, to be able to pursue truly sustainable levels of economic activity that were resilient t",True,Yes
566,2024-01-18,,European Central Bank,climate change,"gotiations – and the impact of structural shocks on the economy and inflation dynamics could well contribute to “last mile”-type delays in disinflation. There was also a risk of new shocks, such as further energy or food price shocks, and effects of climate change on food prices, as well as climate-related measures such as higher carbon taxes, which could render inflation more persistent and more easily unanchor inflation expectations after a long period of above-target inflation.On the other hand, the view w",True,yes
566,2024-01-18,,European Central Bank,energy transition,"cting structurally higher energy prices and weaker capital formation. Many euro area corporations found it hard to compete internationally, owing to the high energy costs in Europe. As investment in renewables was running into capacity problems, the energy transition was not going to provide much relief from high energy prices in the near term. The downward revision to potential output also had implications for the implied output gap and for inflationary dynamics. Overall, the outlook for both productivity growt",True,Yes
568,2023-11-23,,European Central Bank,climate crisis," hand, upside risks to inflation could come from higher energy and food costs. The heightened geopolitical tensions could drive up energy prices in the near term while making the medium-term outlook more uncertain. Extreme weather, and the unfolding climate crisis more broadly, could push food prices up by more than expected. Additionally, a lasting rise in inflation expectations above the inflation target, or higher than anticipated increases in wages or profit margins, could also drive inflation higher, inc",True,yes
570,2023-10-12,,European Central Bank,climate change,"lso increased markedly since the July meeting and had shown increased sensitivity to supply outages. Finally, upside risks to inflation could also emanate from food prices, which could react with a lag to this year’s extreme weather events caused by climate change and amplified by El Niño. In money markets, non-monetary policy deposits had continued to decline since the 26-27 July meeting. Secured money market rates had been broadly unchanged amid limited volatility, suggesting that there was no downward pres",True,Yes
570,2023-10-12,,European Central Bank,climate crisis,"ter of 2023 than in the fourth quarter of 2024, and no extra inflation momentum was expected in 2024.Upside risks to inflation included potential renewed upward pressures on the costs of energy and food. Adverse weather conditions, and the unfolding climate crisis more broadly, could push food prices up by more than expected. A lasting rise in inflation expectations above the 2% target, or higher than anticipated increases in wages or profit margins, could also drive inflation higher, including over the mediu",True,Yes
570,2023-10-12,,European Central Bank,energy transition,"s to how persistent the impact of these shocks would be. On the one hand, it was argued that a real transformation was taking place in energy markets, as suppliers were trying to maximise their revenues through production cuts, in view of the global energy transition. This could put persistent upward pressure on energy prices for years to come. Moreover, it was pointed out that climate change could bring with it a series of new adverse supply-side shocks, with a much greater frequency of extreme weather events r",True,yes
572,2023-08-31,,European Central Bank,climate change,"ctors and potential shocks that were hard to predict. In this context, the consequences of Russia’s unilateral withdrawal from the Black Sea Grain Initiative were a big question mark. Another significant risk factor for food prices was the impact of climate change and weather shocks such as those related to El Niño, which were likely to be non-linear. It needed to be established whether these shocks were related to demand or supply and whether they implied mainly short-term volatility or might affect the medi",True,Yes
572,2023-08-31,,European Central Bank,climate crisis,"d downside risks. The upside risks included potential renewed upward pressures on the costs of energy and food, also related to Russia’s unilateral withdrawal from the Black Sea Grain Initiative. Adverse weather conditions, in light of the unfolding climate crisis, could push up food prices by more than projected. And a lasting rise in inflation expectations above the ECB’s target, or higher than anticipated increases in wages or profit margins, could also drive inflation higher, including over the medium ter",True,Yes
572,2023-08-31,,European Central Bank,green investment," was less investment in housing and weaker prospects for investment more generally, in particular in capital-intensive and interest-sensitive sectors. Comfort was drawn in this context from the observation that the bank lending survey suggested that green investment might be less affected by the general pull-back of lending, as public and private green investment was vital for mitigating the occurrence and impact of climate shocks. At the same time, it was argued that the bad news concerning the growth outlook ",True,Yes
574,2023-07-13,,European Central Bank,paris agreement,"in view of the discontinuation of reinvestments under the APP, the Governing Council should discuss whether further climate-related measures should be considered to ensure that the measures were fit for purpose and aligned with the objectives of the Paris Agreement and the EU’s climate neutrality objectives.Members generally agreed that the data-dependent approach to monetary policymaking, combined with the communication on the ECB’s reaction function, had served the Governing Council well and should be reconf",True,Yes
576,2023-06-01,,European Central Bank,paris agreement,"ment to support the general economic policies in the EU, as also reflected in the ECB’s monetary policy strategy. In particular, a request was made to assess whether the overall composition of the portfolio remained aligned with climate goals of the Paris Agreement.Caution was also expressed against too fast a contraction in the Eurosystem balance sheet. Owing to the TLTRO repayments, the expected pace of the reduction in the balance sheet was already quite fast, while the impact of the APP run-off on the lowe",True,Yes
580,2023-03-02,,European Central Bank,paris agreement," conducted broadly in line with current practice. Without prejudice to the objective of price stability, the Governing Council should also support the gradual decarbonisation of the Eurosystem’s corporate bond holdings, in line with the goals of the Paris Agreement. As regards the pandemic emergency purchase programme (PEPP), the signalling power of the framework for PEPP reinvestment flexibility was still supporting the monetary policy transmission mechanism. It was therefore proposed, in the spirit of pruden",True,Yes
580,2023-03-02,,European Central Bank,decarbonisation,"ties held in the portfolio. To this end, Mr Lane proposed that the partial reinvestments be conducted broadly in line with current practice. Without prejudice to the objective of price stability, the Governing Council should also support the gradual decarbonisation of the Eurosystem’s corporate bond holdings, in line with the goals of the Paris Agreement. As regards the pandemic emergency purchase programme (PEPP), the signalling power of the framework for PEPP reinvestment flexibility was still supporting the",True,yes
581,2023-02-02,,European Central Bank,paris agreement,"e strongly towards issuers with a better climate performance. Without prejudice to the ECB’s price stability objective, this approach will support the gradual decarbonisation of the Eurosystem’s corporate bond holdings, in line with the goals of the Paris Agreement.The detailed modalities for reducing the APP holdings are described in a separate press release to be published at 15:45 CET.Key ECB interest ratesThe Governing Council decided to raise the three key ECB interest rates by 50 basis points. Accordingl",True,Yes
581,2023-02-02,,European Central Bank,decarbonisation,"r the Eurosystem’s corporate bond purchases, the remaining reinvestments will be tilted more strongly towards issuers with a better climate performance. Without prejudice to the ECB’s price stability objective, this approach will support the gradual decarbonisation of the Eurosystem’s corporate bond holdings, in line with the goals of the Paris Agreement.The detailed modalities for reducing the APP holdings are described in a separate press release to be published at 15:45 CET.Key ECB interest ratesThe Governi",True,Yes
590,2022-07-07,,European Central Bank,climate change," least stay higher for longer, in contrast to the downward-sloping path of the futures curve embedded in the projections. This technical assumption had been one of the main reasons for forecast errors in the past. Moreover, structural shifts such as climate change might exert more lasting upward pressure on energy and food prices. This could lead to headline inflation exceeding core inflation by a much larger margin than observed historically, casting further doubt on the plausibility of headline inflation fa",True,yes
592,2022-05-19,,European Central Bank,green transition,"netary policy support remained critical, especially in the present difficult geopolitical situation. In addition, the successful implementation of the investment and reform plans under the Next Generation EU programme would accelerate the energy and green transitions.Members agreed with Mr Lane that heightened uncertainty was affecting the euro area outlook, along with the negative supply shock driven by the surge in energy and other commodity prices. Uncertainty had reached levels that made any assessment of t",True,Yes
595,2022-01-20,,European Central Bank,paris agreement,"s over the projection horizon and contributions of energy prices to headline inflation in 2023 and 2024 well below historical average levels. It was also reiterated that increases in carbon prices towards levels needed to reach the objectives of the Paris Agreement would push inflation upwards in the coming years, both within and beyond the projection horizon. Finally, it was recalled that the inflation projections did not yet include developments in owner-occupied housing costs. Reference was made to estimate",True,Yes
596,2021-11-25,,European Central Bank,paris agreement,"discussion, members also recalled other factors that were relevant for the medium-term inflation outlook. It was argued that, thus far, the projections did not include the rise in carbon prices that would be needed to reach the objectives set in the Paris Agreement. It was acknowledged that energy prices needed to rise in order to affect the behaviour of consumers and enterprises through relative price changes (vis-à-vis non-energy components), but the question was raised as to whether the ultimate effects of ",True,yes
597,2021-10-07,,European Central Bank,climate change,"f the current inflation shock was largely temporary, it would only require a relatively small percentage of the current shock to become permanent for inflation to be close to 2 per cent at the end of the projection horizon. 
The importance of taking climate change policies and the future development of carbon prices into account was emphasised. Their impact was likely to lead to sustained upward price pressures for a number of years. Carbon prices would inevitably have to increase substantially to ensure that",True,Yes
597,2021-10-07,,European Central Bank,paris agreement,"e development of carbon prices into account was emphasised. Their impact was likely to lead to sustained upward price pressures for a number of years. Carbon prices would inevitably have to increase substantially to ensure that the objectives of the Paris Agreement were reached, with the direct effects of climate policies on energy prices likely to affect price developments in the later years of the projection horizon. 
At the same time, there was little evidence so far of second-round effects on wage negotiat",True,Yes
598,2021-08-26,,European Central Bank,fossil fuel,"n energy prices and some other price components in the period ahead. However, it was also argued that such cost and price pressures linked to the climate transition might be offset by efficiency gains from technological change, by the replacement of fossil fuels with renewables in the energy mix and by an intended downward impact on energy consumption. The point was made, however, that the direct effect of climate policies on energy prices should dominate initially and that any substitution effect was like",True,Yes
599,2021-07-29,,European Central Bank,climate change,"ce, magnitude and persistence of the shocks affecting the economy. The medium-term orientation also allowed the Governing Council to cater for other considerations relevant to the pursuit of price stability. Employment, financial stability risks and climate change were some of the areas that had been assessed in great depth during the strategy review. 
The Governing Council had also carefully reviewed the appropriateness of the instruments in its monetary policy toolkit. It was clear that the key ECB interest",True,yes
600,2021-07-09,,European Central Bank,climate change,"y price dynamics over the projection horizon, which in the context of the current projections implied a questionable decline in headline inflation between 2022 and 2023. It was also argued that, in a situation where governments were striving to meet climate change targets, it was likely that new measures would be required that might bring additional upside risks to price developments over a medium to longer-term horizon. For these reasons, projected inflation of only 1.4% in 2023 was widely seen as subject to",True,Yes
613,2020-01-16,,European Central Bank,climate change,"w climate-related policies, including the European Commission’s Green Deal package, should be taken into account in the projection exercises, with members contending that there was a need to step up efforts to understand the economic consequences of climate change. It was highlighted that while policies designed to mitigate the impact of climate change could be expected to have an impact on growth and inflation in the coming years, the implications for the projections would need to be analysed carefully. In p",True,yes
846,2020-01-10,,Sveriges Riksbank,climate change,"y framework, Next Generation EU, and to the Federal Reserve’s monetary 

policy strategy. The ECB is also reviewing its framework.3 In addition to economic policy reforms 

abroad, we also need to consider structural changes, such as digitalisation, climate change and 

globalisation, which may occur either more rapidly or more slowly as a result of the corona crisis. 

Such changes can have positive or negative effects on the labour market and output. It may 

affect our capacity to maintain price stability.",True,Yes
846,2020-01-10,,Sveriges Riksbank,greenhouse gas,"hosen to include unincorporated businesses within the 

framework for our funding for lending scheme. Another aspect related to innovation is reviewing 

how we can consider sustainability in our purchases of corporate bonds and measure and report 

greenhouse gas emissions linked to these purchases. 

As the article in the draft Monetary Policy Report describes, the funding for lending programme 

and bond purchases have so far had the desired effect. The corona crisis has not developed into a 

financial cr",True,yes
853,2020-07-12,,Sveriges Riksbank,climate change,"cines, and a rapid 

economic recovery during the summer. There is an article in the draft Monetary Policy Report 

that discusses the possible long-term economic effects of the pandemic. The draft report also 

contains articles about the effect of climate change on the Riksbank’s work and about the 

distributional effects of the Riksbank's measures. 

After a calmer summer, the spread of infection began to increase again in September and 

October. Data that is relatively comparable over time, such as the ",True,Yes
853,2020-07-12,,Sveriges Riksbank,greenhouse gas,"assets and norms-based negative screening will help us in this 

regard. The best outcome would be if all companies comply with international norms and 

standards so that we do not need to exclude any of them. In addition, measuring and reporting 

greenhouse gas emissions associated with the purchase of corporate bonds also helps us to have 

a high degree of transparency in our measures. This also highlights the importance of better data 

at the company level related to climate risks. For more information",True,Yes
