minute_id,date,year,institution,keyword,context_snippet,is_climate_change,raw_response
43,2010-05-04,,Reserve Bank of Australia,coal," demand for steel-related commodities. Contract
						prices for iron ore were estimated to have risen by close to 100 per cent in
						the June quarter, with spot prices strengthening further since those contracts
						had been negotiated. Coking coal prices had recently also risen significantly.
					

						Given these increases in commodity prices, the staff forecast for the terms
						of trade had been revised upwards. The terms of trade were now expected to
						rise by close to 20 per cen",False,No
44,2010-04-06,,Reserve Bank of Australia,coal,"ng plans outside the mining sector. The non-residential
						building sector remained subdued and, abstracting from the surge in construction
						of educational facilities, new approvals were at relatively low levels.
					

						Spot prices for coal, iron ore and other resources had continued to rise over
						the past month. The price negotiations for iron ore indicated a fairly broad-based
						shift to price-setting on a quarterly, rather than annual, basis. Although
						spot iron ore pr",False,No
46,2010-02-02,,Reserve Bank of Australia,coal," to a rate of 3¼–3½ per
						cent over the remainder of the forecast period. Growth in the mining sector
						was expected to be significantly stronger, partly reflecting the expected growth
						in the LNG sector and upward revisions to expected coal and iron ore prices.
						Growth outside of the resources sector was expected to be more subdued. Higher
						commodity prices meant that the forecast for the terms of trade in the coming
						year had been revised up significantly.
					

						",False,No
47,2011-12-06,,Reserve Bank of Australia,coal,"ey also confirmed
						that the investment outlook remained very strong, with a small upward revision
						to spending plans for 2011/12 from what was an already very positive outlook.
						There had been further announcements of new iron ore and coal projects over
						the past month and the expansion of the LNG sector was continuing.
					

						The national accounts for the September quarter would be released the day after the
						meeting. Growth in private demand was expected to be strong",False,No
48,2011-11-01,,Reserve Bank of Australia,coal,"ft. In contrast,
						conditions in the resources sector were very positive and, consistent with
						this, there has been strong growth in imports of capital goods. Iron ore exports
						had risen strongly over recent months, but the recovery in coal exports continued
						to be slower than earlier expected because of difficulties in removing water
						from flooded mines. Information from the Bureau of Meteorology suggested a
						growing risk of a wetter-than-usual summer, which could furth",False,No
49,2011-10-04,,Reserve Bank of Australia,coal,"ctor. This was
						being partly offset by weak growth in public demand as the fiscal stimulus
						was being unwound, and by strong growth in imports, particularly of capital
						goods. GDP outcomes continued to be affected by the disruption to coal production
						caused by the floods at the beginning of the year, with a full recovery still
						not expected until early 2012.
					

						The national accounts confirmed that growth in household spending on goods had
						been quite modest, ",False,No
50,2011-09-06,,Reserve Bank of Australia,coal,"e prices of most exchange-traded commodities had fallen over August, though the
						falls were relatively small compared with those seen in late 2008 and prices
						remained at high levels. In contrast, spot prices for iron ore and thermal
						coal had risen slightly over the month, with physical demand from Asia continuing
						to be strong. Overall, Australia's terms of trade were expected to be at
						their highest level on record in the September quarter, before gradually declining
				",False,No
51,2011-08-02,,Reserve Bank of Australia,coal,"verall, Australia's terms of trade had reached their highest level
						on record in the June quarter and were now expected to increase further in
						the September quarter, before declining gradually as more global capacity in
						iron ore and coal came on line.
					
Domestic Economic Conditions

						The main economic news over the past month had been the inflation data. In the June
						quarter, the CPI had increased by 0.9 per cent, to be 3.6 per cent higher over
						the year. Measures",False,No
52,2011-07-05,,Reserve Bank of Australia,coal,"t with this,
						capital imports had trended higher over recent months. In contrast, investment
						in the non-mining sector remained soft, with signs yet to emerge of a pick-up
						in non-residential construction.
					

						The recovery of coal exports from the Queensland floods was taking significantly
						longer than earlier expected, and the return to full capacity could be delayed
						to early 2012. In contrast, iron ore exports had already bounced back from
						the weather-induc",False,No
53,2011-06-07,,Reserve Bank of Australia,coal,"ommodities in early May amid a fall in global financial
						markets, but prices for most commodities had since recovered somewhat. Spot
						prices for bulk commodities had also softened a little, but contract prices
						for iron ore and coking coal were expected to remain at near-record levels
						in the September quarter.
					
Domestic Economic Conditions

						GDP was estimated to have fallen by 1.2 per cent in the March quarter. The fall in
						coal and iron ore exports – which reflec",False,No
54,2011-05-03,,Reserve Bank of Australia,coal,"ces had increased further since the April meeting, with the price of Tapis
						crude rising to around US$130 per barrel. The prices of Australia's
						bulk commodity exports had also risen, with annual benchmark contract prices
						for thermal coal exports settling at around US$130 per tonne, a little
						above what had been expected, and spot iron ore prices had also moved higher.
						In contrast, the prices of some food items had declined over the past month,
						as global supply conce",False,No
55,2011-04-05,,Reserve Bank of Australia,coal,"lso be some effects on regional supply chains, though the effects on
						global activity were likely to be relatively limited. For Australia, Japan
						was the second most important export destination, accounting for nearly half
						of thermal coal exports and close to one-fifth of iron ore exports. In the
						very short term, it was likely there would be some disruption to exports of
						goods and services to Japan, though, beyond this, the rebuilding effort and
						a possible increase ",False,No
56,2011-03-01,,Reserve Bank of Australia,coal,"as expected to increase
						to above 4 per cent in the near term and to remain above target until
						2012.
					
Domestic Economic Conditions

						The effect of the floods on the economy was becoming evident in the regular flow
						of data. Coal shipments from Queensland ports had declined sharply in January,
						consistent with the staff's earlier expectations. The staff continued to
						expect that the floods could take around ½ percentage point off
						growth in each of the Decembe",False,No
57,2011-02-01,,Reserve Bank of Australia,coal,"by poor weather.
					

						The recent growth in global demand and industrial production, together with weather-related
						disruptions to supply, had seen generalised strength in commodity prices over
						recent months. Spot prices for coking coal had risen very sharply, in part
						reflecting the fall in production in Queensland following the floods. The spot
						price for iron ore was around its record high levels, as was the IMF's index
						of global food prices. Oil and base metals ",False,No
58,2012-12-04,,Reserve Bank of Australia,coal,"ies to address competitiveness and fiscal challenges, although these challenges
						remained substantial.
					

						Members noted that, overall, global commodity prices were little changed since the
						previous Board meeting. Spot prices for coal had picked up slightly after falling
						over most of the year. Base metals prices had risen, while rural prices were
						little changed and iron ore prices had recorded a modest decline. The terms
						of trade fell in the September quarter an",False,No
59,2012-11-06,,Reserve Bank of Australia,coal,"Members noted that the spot price
						for iron ore had recently increased in line with a rise in steel production
						and prices, but remained well below levels seen earlier in the year. In contrast,
						spot prices for both thermal and coking coal had declined further. Global food
						prices were higher and base metals prices remained broadly unchanged from the
						middle of the year. The terms of trade were estimated to have declined further
						in the September quarter, and were forec",False,No
60,2012-10-02,,Reserve Bank of Australia,coal,"					world economy for some time.
					

						Overall, commodity prices were relatively flat in net terms over the month. The spot
						price for iron ore had recovered some of the sharp fall in August. In contrast,
						the spot price for coking coal had continued to drift lower. The prices for
						both commodities remained around 25 per cent below their levels in June. The
						terms of trade were estimated to have fallen further in the September quarter
						to be more than 10 per cent bel",False,No
61,2012-09-04,,Reserve Bank of Australia,coal,"ic activity in the rest of
						Asia and the United States appeared to have expanded at a modest pace. Economic
						conditions remained weak in Europe. Against this background, there had been
						sharp falls in the prices of iron ore and coking coal more recently.
					

						Members observed that data on economic activity in China had been a bit weaker of
						late. The manufacturing PMI fell back in August and the value of exports over
						the year to July was broadly flat. In July, consu",False,No
62,2012-08-07,,Reserve Bank of Australia,coal,"urther significant
						economic adjustment seemed necessary and the challenges ahead for the euro
						area remained substantial.
					

						Commodity price movements had been mixed over the past month. Spot prices for iron
						ore and coking coal had declined recently, consistent with a softening in global
						demand and rising supply. However, prices for oil and some rural commodities
						had increased over the past month because of supply disruptions, with drought
						in the US and B",False,No
63,2012-07-03,,Reserve Bank of Australia,coal,"tle further in the June quarter, although they remained at historically
						high levels. Iron ore prices were little changed over the past month, after
						falling sharply in May. Reflecting weaker global demand, prices for oil and
						thermal coal had fallen substantially. In contrast, spot prices for coking
						coal had increased, in part owing to supply concerns related to industrial
						action in Australia.
					
Domestic Economic Conditions

						Members noted that data released over",False,No
64,2012-06-05,,Reserve Bank of Australia,carbon tax,"dually, but the unemployment rate was still
						expected to move somewhat higher over the coming quarters. Output growth was
						expected to increase towards trend over the remainder of this year, and inflation
						(excluding the impact of the carbon tax) was expected to remain in the lower
						part of the 2–3 per cent range.
					

						The Board considered whether the recent information warranted a further reduction
						in the cash rate.
					

						The arguments were finely balanced. Recent",False,No
64,2012-06-05,,Reserve Bank of Australia,coal,"					likely to ease policies in a more measured way than was the case in the earlier
						episode.
					

						The softening in global activity had been associated with a general decline in commodity
						prices. Spot prices for iron ore, thermal coal and crude oil declined significantly
						over the month. While part of the fall in iron ore prices reflected an easing
						in earlier supply disruptions in Australia and Brazil, economic weakness in
						Europe and an easing in Chinese steel pr",False,No
65,2012-05-01,,Reserve Bank of Australia,coal," The spot price for iron ore had continued to
						drift higher since the start of the year, consistent with signs of a recovery
						in Chinese steel production as well as some supply disruptions in Australia
						and Brazil. In contrast, coking coal prices had softened as supply from Queensland
						had returned to its level prior to the flooding in early 2011, and base metals
						prices had trended lower in recent months.
					
Domestic Economic Conditions

						Members noted that the avai",False,No
66,2012-04-03,,Reserve Bank of Australia,coal,"clined in March.
					

						After peaking in the September quarter, Australia's terms of trade fell
						by almost 5 per cent in the December quarter 2011, owing to declines
						in bulk commodity prices. Since the start of 2012, spot prices for coal had
						fallen by 6–7½ per cent, but iron ore prices had increased
						by around 10 per cent. Over the same period, Tapis crude oil prices had
						increased by 14 per cent, to US$134 per barrel, in part reflecting
						concerns about future s",False,No
68,2012-02-07,,Reserve Bank of Australia,coal," construction all weighing on activity.
						Exports of services, particularly education, had been falling for several years,
						and manufacturing exports remained below the levels seen prior to the global
						financial crisis. The recovery in coal production had also taken longer than
						initially expected, with Queensland coal exports yet to recover fully to pre-flood
						levels.
					

						Overall, measures of business conditions at the start of 2012 were around average,
						while ",False,No
69,2013-12-03,,Reserve Bank of Australia,coal,"es
						and activity for the region as a whole increasing marginally in the September
						quarter.
					

						Global commodity prices overall had not changed much since the previous Board meeting.
						Spot prices for both iron ore and thermal coal were little changed following
						earlier increases, while coking coal and base metals prices had drifted lower
						and oil prices were higher.
					
Domestic Economic Conditions

						Labour market conditions had remained soft, with the level ",False,No
70,2013-11-05,,Reserve Bank of Australia,coal,"t, before picking up to be slightly above average in 2014.
					

						Overall, global commodity prices had increased slightly over the past month. Iron
						ore prices had been supported by strong growth in Chinese steel production.
						Thermal coal prices had increased of late but were well below levels of recent
						years.
					
Domestic Economic Conditions

						Members noted that information that became available over the past month was consistent
						with the Australian economy contin",False,No
71,2013-10-01,,Reserve Bank of Australia,coal,"
						Commodity prices overall were a little lower over the past month. The spot prices
						of iron ore and Chinese steel had declined, despite Chinese steel production
						remaining relatively strong. Oil prices had also declined, while coking coal
						prices had increased slightly, albeit from relatively low levels.
					
Domestic Economic Conditions

						The national accounts data for the June quarter, which were released the day
						after the previous Board meeting, confirmed that the",False,No
72,2013-09-03,,Reserve Bank of Australia,coal,"					

						Exports had been supporting overall growth in the economy. Iron ore exports
						had continued to grow strongly in the June quarter as new production facilities
						came on stream following the significant investment in recent years. Coal export
						volumes were also higher over the past year, although coal prices had declined.
						Members noted that rural exports remained at a high level, following generally
						good rainfall in recent years.
					

						The available indicat",False,No
73,2013-08-06,,Reserve Bank of Australia,coal,"as unlikely to pick up much, if at all, in coming quarters.
					

						Commodity prices overall had been little changed over the past month. The spot price
						for iron ore had moved higher along with Chinese steel prices, while prices
						for coal remained low following the large falls earlier in the year.
					
Domestic Economic Conditions

						Members noted that the news received on domestic activity over the month was consistent
						with Australian economic growth being below trend in ",False,No
75,2013-06-04,,Reserve Bank of Australia,coal,". Some indicators,
						such as capital imports, had recently picked up.
					

						Over the past month, the spot price for iron ore had fallen further, unwinding the
						sharp increase around the turn of the year, and the spot price for coking coal
						had also declined. In contrast, prices for thermal coal, base metals and rural
						commodities had showed little change.
					
Domestic Economic Conditions

						The limited data for the Australian economy released over the previous month h",False,No
76,2013-05-07,,Reserve Bank of Australia,coal,"abilising. Members noted that it was possible that some countries
						would ease their fiscal austerity programs.
					

						Most commodity prices had declined over the month following some weaker-than-expected
						global economic data. Coking coal and base metals prices had fallen to the
						low levels seen last year. There had also been falls in the prices of iron
						ore, crude oil and precious metals, while the prices for rural commodities
						had been little changed.
					
Domestic ",False,No
78,2013-03-05,,Reserve Bank of Australia,coal,"olidation over the balance of the
						year.
					

						Prices for iron ore remained relatively high, although this strength was still expected
						to be temporary, in part because of an expected increase in supply. Spot prices
						for coking coal had picked up slightly, while rural and base metals prices
						were a little lower over the past month.
					
Domestic Economic Conditions

						With the national accounts scheduled for release the day after the Board meeting,
						members noted",False,No
79,2013-02-05,,Reserve Bank of Australia,coal," ahead of Chinese
						steel prices in recent months and it was widely expected that iron ore prices
						would not be sustained at these high levels. More generally, the improved global
						outlook had led to higher spot prices for many metals, coal and crude oil over
						recent months, but coal prices remained well below levels of a year earlier.
						Overall, the terms of trade were around 17 per cent below their late
						2011 peak and the forecast profile was little changed.

						Dome",False,No
80,2014-12-02,,Reserve Bank of Australia,coal,"tle changed over the year
						to date. The underperformance of the Australian market reflected the poor performance
						of equity prices of mining and energy companies, which were around 20 per cent 
						lower in response to falls in iron ore, coal and oil prices.
					

						Bond issuance by Australian banks in 2014 to date had been solid in both gross and
						net terms, although the overall funding mix of the banks was little changed.
						Members noted that conditions in the Australian ",False,No
81,2014-11-04,,Reserve Bank of Australia,coal,"w strongly in the September quarter and were
						expected to be boosted over the next year or so by a further expansion in iron
						ore production, despite much lower prices, and a gradual ramping up of production
						of liquefied natural gas. Coal production was expected to be sustained at a
						high level even though a few smaller, higher-cost mines had closed in response
						to lower coal prices. Mining investment was expected to continue to decline
						for some time, with current pro",False,No
83,2014-09-02,,Reserve Bank of Australia,coal," well below the target
						of the European Central Bank (ECB) of below but close to 2 per cent.
					

						Commodity prices overall had declined a little over the past month. The price of
						iron ore had fallen to around its recent lows while coal prices were little
						changed, following sharp declines earlier in the year.
					
Domestic Economic Conditions

						Members began their discussion of the domestic economy by considering developments
						in the labour market. Overall, conditi",False,No
84,2014-08-05,,Reserve Bank of Australia,coal,"on in coming quarters.
					

						The volume of exports was estimated to have declined in the June quarter, after increasing
						strongly in the preceding quarter as a result of strong growth in resource
						exports. The growth of iron ore and coal exports had been expected to moderate
						from the rapid pace seen in recent years, as capacity was forecast to expand
						at a slower rate over coming quarters. While construction of large projects
						to expand LNG capacity was proceeding, p",False,No
86,2014-06-03,,Reserve Bank of Australia,coal,"l further over the past month, in part reflecting softer conditions
						in the Chinese steel market but also in response to the increase in iron ore
						production capacity globally. Other commodity prices were little changed overall,
						with coal prices relatively stable, rural prices declining a little and base
						metals prices slightly higher. Members noted that at current prices most iron
						ore production in Australia was thought to be profitable, but that some iron
						ore produ",False,No
87,2014-05-06,,Reserve Bank of Australia,coal,"n approvals stabilising. Other indicators,
						such as turnover, first home owner grants and loan approvals for new housing,
						remained consistent with strong demand for both established and new housing.
					

						The volume of iron ore and coal exports had risen strongly over recent months. Additional
						capacity for these commodities was still coming on line, although exports were
						expected to grow at a slower rate than in 2013.
					

						Survey measures of business conditions ",False,No
88,2014-04-01,,Reserve Bank of Australia,coal,"quarter.
					

						Global commodity prices had declined since the previous Board meeting. The spot price
						for iron ore had been volatile over recent weeks, while steel prices in China
						had declined and spot prices for coking and thermal coal were well below current
						contract levels. The fall in the price of steel in China over recent weeks
						was consistent with a softening in demand. At the same time, the supply of
						steel appeared to have been constrained by a tightening i",False,No
89,2014-03-04,,Reserve Bank of Australia,coal,"nderpin high
						levels of new urban residential construction over coming years.
					

						Global commodity prices had been mixed over the month. Increases in the prices of
						base metals, gold and oil were offset by declines in iron ore and coal prices,
						which had drifted lower in recent months.
					
Domestic Economic Conditions

						Members began their discussion of the domestic economy with the labour market. They
						noted that wage growth remained subdued, in line with the wea",False,No
95,2015-08-04,,Reserve Bank of Australia,coal,"mining business investment.
					

						Export volumes appeared to have declined in the June quarter following a strong increase
						in the previous quarter. The weakness in resource exports partly reflected
						some temporary factors affecting coal and liquefied natural gas production,
						but a moderation in demand from China may have contributed to lower iron ore
						exports. Net service exports had made a strong contribution to output growth
						over the past year, supported by the ea",False,No
95,2015-08-04,,Reserve Bank of Australia,oil and gas,"ecent indicators were consistent with
						above-trend growth in consumption in the period ahead. Members observed that
						lower oil prices should have a net positive effect on output growth in the
						United States, while recognising that the oil and gas sector had been adversely
						affected by the lower prices for its output and that households had saved some
						of the gains from lower fuel prices. Employment growth had strengthened in
						the June quarter and the unemployment rate had cont",False,No
96,2015-07-07,,Reserve Bank of Australia,coal,"on had picked up to be around, or even above,
						their long-run averages. In contrast, private non-residential building approvals
						had remained weak.
					

						The monthly trade data suggested that resource exports, including iron ore and coal,
						had declined in the June quarter. Coal exports had been affected by the severe
						storms in the Hunter region of New South Wales in late April. Members noted
						that there had been further signs of growth in service exports, in part a r",False,No
97,2015-06-02,,Reserve Bank of Australia,coal,"nued to improve, but the recovery remained
						modest and inflation continued to be well below the European Central Bank's
						target.
					

						Overall, commodity prices had been little changed since the previous meeting. The
						prices of coal and base metals had fallen, while the price of iron ore had
						increased.
					
Domestic Economic Conditions

						Members noted that the March quarter national accounts would be released the day
						after the meeting. The data available prior",False,No
98,2015-05-05,,Reserve Bank of Australia,coal,"uthorities
						had introduced several measures to address the overhang of housing supply,
						while the People's Bank of China (PBC) had lowered the reserve requirement
						ratio for banks.
					

						Although the prices of iron ore, thermal coal and oil prices had rebounded somewhat
						from recent lows, members observed that the slowing in the growth of Chinese
						demand for steel had contributed to declines in the prices of bulk commodities
						since the start of 2015. As a result,",False,No
99,2015-04-07,,Reserve Bank of Australia,coal," growth of Australia's major trading partners had continued
						at around its average pace in early 2015. Growth in China looked to have eased
						a little further and this was likely to have contributed to further declines
						in iron ore and coal prices. Globally, the fall in oil prices in the second
						half of 2014 had led to lower inflation and was expected to provide additional
						support to demand in Australia's trading partners. Monetary policies remained
						very accommodative.",False,No
99,2015-04-07,,Reserve Bank of Australia,oil and gas,"was estimated to have declined by 13 per cent over 2014 and
						an even larger decline was expected over 2015. Moreover, members observed that
						the recent declines in oil prices could lead to some scaling back of investment
						plans in the oil and gas sector. Non-mining investment had been subdued for
						some time. Forward-looking indicators (such as the ABS capital expenditure
						survey and non-residential building approvals) as well as liaison suggested
						that it was likely to remain ",False,No
100,2015-03-03,,Reserve Bank of Australia,coal,"remained
						weak, with office vacancy rates in all capital cities at high levels.
					

						Available data suggested that export volumes rose slightly in the December quarter,
						as increases in non-bulk commodity exports offset declines in coal, service
						and rural exports. Exports of iron ore volumes were estimated to be little
						changed.
					
Financial Markets

						Members observed that global financial markets continued to focus on developments
						in Greece over the past m",False,No
102,2016-12-06,,Reserve Bank of Australia,coal,"on had been above their long-run averages, but had eased since earlier in the year.
						

							Export volumes increased in the September quarter, led by service exports. Prices for a number of Australia's key
							commodities, including coking coal, iron ore and base metals, had increased noticeably over the June and September
							quarters, which had contributed to the increase in Australia's terms of trade of about 6 per cent over that period.
							Commodity prices had risen further over",False,No
103,2016-11-01,,Reserve Bank of Australia,coal,"		parts of the industrial sector and growth in private sector fixed asset investment had remained subdued. At the same
							time, the authorities had restricted the domestic production of bulk commodities, which had contributed to a rise in
							coal prices. Higher commodity prices had been associated with a more broadly based increase in producer prices in
							China over recent months, following a few years of noticeable deflation. Members observed that the longer-term risks
							to China'",False,no
104,2016-10-04,,Reserve Bank of Australia,coal,"trial sectors, including steel,
							machinery, equipment and motor vehicle manufacturing, had picked up a little. These
							developments had supported Chinese demand for commodities at the same time as Chinese
							production of iron ore and coal had been scaled back. As a result, imports of both
							commodities had been on an upward trend, and iron ore imports from Australia had remained
							around record highs in recent months. Stronger demand and temporary supply disruptions had
			",False,No
106,2016-08-02,,Reserve Bank of Australia,coal,"ll was
							unchanged from that presented in May. Despite this, commodity prices had picked up since the
							beginning of the year, partly because of reductions in supply by some high-cost producers of
							commodities, including iron ore and coal. GDP growth in Australia's major trading
							partners was expected to be up to ½ percentage point below its average rate in each
							year of the forecast period. There had also been little change to the outlook for the terms
							of trade, w",False,No
